Bike_Model,Image_URL
Xtreme 160R,https://imgd.aeplcdn.com/1056x594/n/cw/ec/127127/xtreme-right-side-view-4.png?isig=0&q=80
Glamour,https://imgd.aeplcdn.com/1056x594/n/cw/ec/50100/glamour-right-side-view-5.png?isig=0&q=80
Xoom 125,https://imgd.aeplcdn.com/1056x594/n/cw/ec/164405/xoom-125-right-side-view-12.png?isig=0&q=80
Super Splendor,https://imgd.aeplcdn.com/1056x594/n/cw/ec/49457/super-splendor-right-side-view-2.png?isig=0&q=80
HF Deluxe,https://imgd.aeplcdn.com/1056x594/n/cw/ec/212719/hf-deluxe-right-side-view-2.png?isig=0&q=80
Destini 125,https://imgd.aeplcdn.com/1056x594/n/cw/ec/184757/destini-125-right-side-view-3.png?isig=0&q=80
Xtreme 125R,https://imgd.aeplcdn.com/1056x594/n/cw/ec/169073/xtreme-125r-right-side-view-5.png?isig=0&q=80
Passion Plus,https://www.heromotocorp.com/content/dam/hero-commerce/in/en/products/executive/passion-plus/HPPLBIRSCFIBHG/360/1.png
Splendor Plus,https://imgd.aeplcdn.com/1056x594/n/cw/ec/212711/splendor-plus-right-side-view-3.png?isig=0&q=80
Xpulse 200 4V,https://imgd.aeplcdn.com/1056x594/n/cw/ec/105184/xpulse-200-4v-right-side-view-11.png?isig=0&q=80
Pleasure Plus,https://imgd.aeplcdn.com/1056x594/n/cw/ec/49458/pleasure-right-side-view-2.png?isig=0&q=80
Maestro Edge 125,https://imgd.aeplcdn.com/1056x594/n/cw/ec/49454/maestro-right-side-view-2.png?isig=0&q=80
Xtreme 250R,https://imgd.aeplcdn.com/1056x594/n/cw/ec/191669/xtreme-250r-right-side-view-5.png?isig=0&q=80
