Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD000001,09-08-2020,2020,8,August,Q3,Tamil Nadu,Madurai,Hero Dealer Madurai,Corporate Sale,Xtreme 160R,Sports,163,Red,22,Female,UPI,132644,1377,5133,5363,0,6124,138495,110363,28132,2,4.3
ORD000002,05-06-2022,2022,6,June,Q2,Chhattisgarh,Raipur,Hero Dealer Raipur,Corporate Sale,Glamour,Commuter,125,White,31,Female,Finance,104815,2582,5797,6264,63804,4914,113404,80868,32536,9,4.2
ORD000003,26-02-2021,2021,2,February,Q1,Punjab,Ludhiana,Hero Dealer Ludhiana,Showroom Walk-in,Xoom 125,Scooter,125,Blue,52,Female,Cash,93752,5570,7758,9216,26586,4978,93102,70806,22296,13,3.8
ORD000004,12-10-2025,2025,10,October,Q4,Jharkhand,Ranchi,Hero Dealer Ranchi,Showroom Walk-in,Xoom 125,Scooter,125,Matte Blue,52,Male,Finance,100606,81,9703,4620,85861,3348,107140,71454,35686,4,3.7
ORD000005,06-06-2025,2025,6,June,Q2,Goa,Panaji,Hero Dealer Panaji,Online Booking,Super Splendor,Commuter,125,Blue,36,Male,Finance,100784,8716,6310,5000,72279,3781,114476,76793,37683,14,3.9
ORD000006,04-05-2023,2023,5,May,Q2,Kerala,Kochi,Hero Dealer Kochi,Online Booking,HF Deluxe,Commuter,97,White,33,Female,Cash,75773,738,6899,2570,0,938,78101,65873,12228,2,3.6
ORD000007,13-08-2024,2024,8,August,Q3,Jammu and Kashmir,Srinagar,Hero Dealer Srinagar,Corporate Sale,Destini 125,Scooter,125,Grey,32,Male,UPI,89068,2089,8280,5000,0,3440,101160,75966,25194,2,3.9
ORD000008,10-11-2021,2021,11,November,Q4,Gujarat,Ahmedabad,Hero Dealer Ahmedabad,Corporate Sale,Xtreme 125R,Sports,125,Matte Blue,35,Male,Cash,116953,2959,3317,11656,0,6500,122532,101604,20928,13,4.1
ORD000009,21-02-2022,2022,2,February,Q1,Karnataka,Mysore,Hero Dealer Mysore,Showroom Walk-in,Xtreme 125R,Sports,125,Black,33,Female,Cash,116373,3693,5201,7162,0,199,111887,94303,17584,1,4.5
ORD000010,30-03-2021,2021,3,March,Q1,Uttar Pradesh,Lucknow,Hero Dealer Lucknow,Corporate Sale,Glamour,Commuter,125,Green,21,Male,Credit Card,103435,1881,4072,1309,0,3843,97945,85450,12495,12,3.7
ORD000011,03-06-2025,2025,6,June,Q2,Himachal Pradesh,Shimla,Hero Dealer Shimla,Online Booking,Passion Plus,Commuter,97,Grey,23,Male,Finance,92428,1464,1573,2485,85115,2337,88607,67954,20653,2,3.6
ORD000012,10-08-2020,2020,8,August,Q3,Rajasthan,Jaipur,Hero Dealer Jaipur,Showroom Walk-in,Xtreme 160R,Sports,163,Matte Blue,29,Female,UPI,142090,2073,14175,10174,0,8131,146846,114773,32073,13,4.1
ORD000013,14-05-2022,2022,5,May,Q2,Assam,Guwahati,Hero Dealer Guwahati,Corporate Sale,Passion Plus,Commuter,97,Green,20,Male,Finance,91646,6383,4947,1501,73850,4382,88703,65857,22846,12,4.5
ORD000014,13-10-2020,2020,10,October,Q4,Telangana,Hyderabad,Hero Dealer Hyderabad,Online Booking,Splendor Plus,Commuter,100,Green,56,Male,Cash,94669,4614,3213,1969,0,2893,101629,80611,21018,4,4.3
ORD000015,22-06-2020,2020,6,June,Q2,Andhra Pradesh,Visakhapatnam,Hero Dealer Visakhapatnam,Showroom Walk-in,Super Splendor,Commuter,125,Red,35,Female,UPI,99572,7430,1771,6603,0,843,110904,81829,29075,2,4.2
ORD000016,14-08-2024,2024,8,August,Q3,Karnataka,Bangalore,Hero Dealer Bangalore,Online Booking,Passion Plus,Commuter,97,Green,53,Male,UPI,93212,5731,9263,4401,537,162,101254,66542,34712,13,4.6
ORD000017,14-06-2020,2020,6,June,Q2,Uttar Pradesh,Lucknow,Hero Dealer Lucknow,Showroom Walk-in,Xtreme 125R,Sports,125,Matte Blue,56,Male,Cash,119468,5200,9947,7153,0,4646,113805,96881,16924,10,3.4
